dataset_instance_id,videoview_dateid_ist,videoview_date_ist,videoview_datetime_ist,viewerid,asset,deviceos,country,state,city,asn,isp,starttime,startuptime,playingtime,bufferingtime,interrupts,averagebitrate,startuperror,sessiontags,ipaddress,cdn,browser,convivasessionid,streamurl,errorlist,percentagecomplete,connectioninducedrebufferingtime,videorestarttime,rejoinedcount,vpf,vpferrorlist,contentlength,prerollpodsstarted,prerollpodscompleted,prerollpodsabandoned,prerollpodplaytime,prerollpodduration,midrollpodsstarted,midrollpodscompleted,midrollpodsabandoned,midrollpodplaytime,midrollpodduration,totalpodsstarted,totalpodscompleted,totalpodsabandoned,totalpodplaytime,totalpodduration,endedstatus,endtime,sessiontag_genre,sessiontag_c3_sh,sessiontag_show,sessiontag_c3_player_name,sessiontag_contenttype,sessiontag_c3_pt_br_ver,sessiontag_c3_de_cdn,sessiontag_vi,sessiontag_c3_client_brand,sessiontag_c3_client_osname,sessiontag_c3_de_rs,sessiontag_c3_go_algoid,sessiontag_connectiontype,sessiontag_c3_pt_br,sessiontag_contentid,sessiontag_c3_client_hwtype,sessiontag_device,sessiontag_audiolanguage,sessiontag_c3_pt_os_ver,sessiontag_c3_pt_os,sessiontag_provider,sessiontag_c3_video_islive,sessiontag_streamprotocol,sessiontag_accesstype,sessiontag_c3_client_marketingname,sessiontag_assetname,sessiontag_episodename,sessiontag_category,sessiontag_channel,sessiontag_isan,sessiontag_pubdate,sessiontag_rootid,sessiontag_season,sessiontag_site,sessiontag_syndicator,sessiontag_tmsid,sessiontag_affiliate,sessiontag_streamingprotocol,sessiontag_carrier,sessiontag_playerversion,sessiontag_viewerage,sessiontag_viewergender,sessiontag_catchup,sessiontag_videostartpoint,sessiontag_videoendpoint,sessiontag_playbackquality,sessiontag_viewingmode,sessiontag_subtitles,sessiontag_islive,sessiontag_streamurl,sessiontag_playername,sessiontag_viewerid,sessiontag_c3_ad_technology,sessiontag_c3_ad_id,sessiontag_c3_ad_system,sessiontag_c3_ad_position,sessiontag_c3_ad_isslate,sessiontag_c3_ad_mediafileapiframework,sessiontag_c3_ad_adstitcher,sessiontag_c3_ad_unitname,sessiontag_c3_ad_sequence,sessiontag_c3_ad_creativeid,sessiontag_c3_ad_creativename,sessiontag_c3_ad_breakid,sessiontag_c3_ad_category,sessiontag_c3_ad_classification,sessiontag_c3_ad_advertiser,sessiontag_c3_ad_advertisercategory,sessiontag_c3_ad_advertiserid,sessiontag_c3_ad_campaignname,sessiontag_c3_ad_daypart,sessiontag_c3_ad_admanagername,sessiontag_c3_ad_admanagerversion,sessiontag_c3_ad_sessionstartevent,error_value,error_description
1665886096607,20221015,2022-10-15,2022-10-15 19:35:00,cda9027b-2ca4-4355-92ba-c3c6b577b91d,[0-0-1z5228526] Raksha Bandhan Trailer,Android,india,telangana,hyderabad,55577,"ASN: BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",1665842700,-1,0,0,0,0,0,,49.205.235.91,AMAZON,Native App,2002129226:3917731238:2069391051:3575265701:816753106,https://mediacloudfront.zee5.com/drm1/elemental/dash/TRAILERS/DOMESTIC/PROMOS/HINDI/RakshaBandhan/RAKSHABANDHAN_PF_60_WATCHNOW_hi_1d0d0cfd361f4dc5668388575ecd87cc/manifest-connected.mpd?c3.ri=6906327940297943797,,0,0,0,0,0,,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,%22Comedy%22%2C+%22Drama%22,mediacloudfront.zee5.com,Not-Received,AndroidTV-Zee5,Clip,,,,,,,,Connected+%2F+WiFi,,0-0-1z5228526,,Connected,Hindi,,,,F,,Premium,,,,Movie+Trailer,Not-Received,,,,,,,,ZEE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONTENTACCESSTYPE,ADID,DV.FW,C3.CM.GENRE,DV.MNF,APPVERSION,INFOMESSAGE,",Key is missing
1665886096607,20221015,2022-10-15,2022-10-15 11:30:56,f74a84af-8e94-42b7-8b2d-b205b5fb91cf,0-0-1z5168144 | Dhaakad | Trailer,Android,india,karnataka,bengaluru,24560,"ASN: AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN",1665813656,1102,702,0,0,2636,0,,2401:4900:1f25:45fb:c183:3051:1647:366b,AKAMAI,Native App,3788097397:3733471149:340694056:1526390292:811279164,https://zee5vod.akamaized.net/drm1/elemental/dash/TRAILERS/DOMESTIC/PROMOS/HINDI/JUNE_2022/30/DHAAKAD_TRAILER_2MIN_25SEC_WATCH_NOW_PF_30062022_hi_92b3d7f95e22c9f0eb7d0c250f471ca2/manifest-phone.mpd?c3.ri=6895068911187803905,,0,0,0,0,0,,7506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Action%2C+Thriller,zee5vod.akamaized.net,null,Android-Mobile-Zee5,movie,,,,,,,,WiFi,,0-0-1z5168144,,Android,,,,,F,,Registered,,,,Movie,,,,,,,,,Zee+Entertainment+Enterprises+Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONTENTACCESSTYPE,ADID,DV.FW,GENRES,DV.MNF,APPVERSION,CONTENT+ORIGINAL+LANGUAGE,INFOMESSAGE,",Key is missing
1665886096607,20221015,2022-10-15,2022-10-15 18:36:19,51ed774d-74fa-4d96-ade4-6fd988341427,[0-1-155632] Jodha Akbar-Episode 471,Android,india,national capital territory of delhi,delhi,132116,"ASN: ANINETWORK-IN Ani Network Pvt Ltd, IN",1665839179,-3,2798,0,0,6500,0,,43.247.41.102,AMAZON,Native App,2206740650:765308470:3286517144:1654805785:1328358375,https://mediacloudfront.zee5.com/drm1/elemental/dash/TVShows/Jodha_Akbar_EP471_20112018_Rev1_RTR_NONE_bb3130475993e699c66bef443aeacfe5/manifest-connected.mpd?c3.ri=6904920548415155057,,0,0,0,0,0,,1507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,%22Drama%22,mediacloudfront.zee5.com,Jodha+Akbar,AndroidTV-Zee5,Episode,,,,,,,,Connected+%2F+Wired,,0-1-155632,,Connected,Hindi,,,,F,,Premium,,,,Episode,Not-Received,,,,,,,,ZEE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONTENTACCESSTYPE,ADID,DV.FW,C3.CM.GENRE,DV.MNF,APPVERSION,INFOMESSAGE,",Key is missing
